date,nav
2023-04-06,23862772.003951784
2023-04-10,23883107.687919375
2023-04-11,24291276.631103273
2023-04-12,24422669.354873415
2023-04-13,24452042.73873877
2023-04-17,24563179.137763735
2023-04-18,24580240.303481814
2023-04-19,24491161.54635596
2023-04-20,24350233.342010256
2023-04-21,24681141.264686342
2023-04-24,24990602.376823183
2023-04-25,24949000.459930178
2023-04-26,24963310.20852637
2023-04-27,25058238.247604128
2023-04-28,25421601.908202883
2023-05-02,25691519.278373476
2023-05-03,25687681.104867496
2023-05-04,25835002.244531192
2023-05-05,25786074.572335757
2023-05-08,25932429.27380518
2023-05-09,25946590.244012393
2023-05-10,26155248.55202631
2023-05-11,26242914.884744205
2023-05-12,26247228.26067499
2023-05-15,26400710.352387942
2023-05-16,26743329.591409244
2023-05-17,27126340.68521265
2023-05-18,26869405.16214899
2023-05-19,26817359.981774844
2023-05-22,26803900.25866846
2023-05-23,27016864.013932742
2023-05-24,27046647.184396304
2023-05-25,27292483.067346133
2023-05-26,27754903.005311526
2023-05-29,27988698.937768497
2023-05-30,28142765.867867984
2023-05-31,28300925.34966425
2023-06-01,28205778.55366663
2023-06-02,28387416.88486059
2023-06-05,29253460.812656
2023-06-06,29509304.053912714
2023-06-07,29585084.225940302
2023-06-08,29471935.420474604
2023-06-09,29599542.181186274
2023-06-12,29954146.876987055
2023-06-13,30161546.918719843
2023-06-14,30061958.95819433
2023-06-15,30281391.537524775
2023-06-16,31507855.709994867
2023-06-19,31363320.733356073
2023-06-20,31804158.56038244
2023-06-21,31320619.78848608
2023-06-22,31209138.234958246
2023-06-23,30618715.62274511
2023-06-26,31195382.078967646
2023-06-27,31527118.443393305
2023-06-28,31878867.93550451
2023-06-30,31943638.219089106
2023-07-03,32576444.86545141
2023-07-04,32180831.09674909
2023-07-05,32765568.61689832
2023-07-06,32800412.17813947
2023-07-07,32678514.207283758
2023-07-10,33172233.61337354
2023-07-11,34218691.013764165
2023-07-12,34931938.672287725
2023-07-13,34710715.16151502
2023-07-14,34410960.48429944
2023-07-17,35137209.561280034
2023-07-18,35320999.44813611
2023-07-19,35510334.59250715
2023-07-20,36561195.19149854
2023-07-21,37232276.035317205
2023-07-24,37236782.09508588
2023-07-25,36431020.243607305
2023-07-26,37015310.84043958
2023-07-27,36771860.659928106
2023-07-28,36969534.78411176
2023-07-31,37046038.766777776
2023-08-01,37065790.42300489
2023-08-02,36390674.05106806
2023-08-03,36419273.519757025
2023-08-04,36407398.2767837
2023-08-07,36628637.714573614
2023-08-08,36712535.97984766
2023-08-09,37349802.9576919
